completeObs.SEIN,completeObs.POUMON,completeObs.GYNECO,completeObs.PROSTATE,completeObs.VESSIE,completeObs.REIN,completeObs.DIGESTIF,completeObs.FOIE,completeObs.THYROIDE,completeObs.MELANOME,completeObs.TETE.ET.COU..ORL,completeObs.AUTRES,cluster
0,0,0,20,10,10,60,0,0,0,0,0,5
80,0,15,0,0,0,0,0,0,0,0,5,1
31,8,12,10,1,1,8,0,0,1,8,0,1
20,12,5,20,6,6,25,0,0,0,6,0,3
0,0,0,0,0,0,0,0,0,5,60,35,2
15,11,11,11,4,4,15,4,0,0,0,0,3
30,30,0,5,5,3,27,0,0,0,0,0,3
25,25,10,10,5,0,25,0,0,0,0,0,3
23.3401998311912,12.565013741056,8.83764162766352,15.7505905616571,4.52875674048725,4.38593284457726,12.4790209316915,1.28557747736519,0.422109860659659,2.24580374679996,7.29439641028788,3.0869832409904,3
80,1,15,1,0,0,3,0,0,0,0,0,1
39,5,3,35,1,1,5,0,1,1,5,2,3
30,15,7,15,5,5,15,2,1,0,5,0,3
32,10,5,10,5,5,20,5,2,1,5,0,4
10,0,0,45,15,15,0,0,0,0,0,15,5
50,0,20,10,10,10,0,0,0,0.949688883532896,0,0,1
60,0,30,1,0,0,9,0,0,0,0,0,1
5,0,0,15,15,20,40,5,0,0,0,0,5
5,0,0,15,15,20,40,5,0,0,0,0,5
25,10,5,25,1,1,5,1,0,2,25,0,3
10,20,5,20,5,10,10,3,2,10,5,0,4
10,13,20,15,5,7,20,3,2,2,3,0,4
25,0,10,20,10,5,0,0,0,0,5,25,3
70,15,0,0,0,0,0,0,0,0,15,0,1
25,0,0,40,0,5,0,0,0,0,15,10,3
25,5,5,45,5,0,0,0,0,0,15,0,3
10,10,5,15,5,5,25,0,0,0,25,0,3
40,0,0,10,10,10,0,0,0,0,30,0,3
0,0,0,0,0,0,0,0,0,0,0,100,2
5,20,5,10,5,2,20,8,0,0,5,20,4
15,5,30,35,0,5,5,0,5,0,0,0,4
10,10,10,14,0,4,11,0,0,0,11,0,3
50,1,20,5,5,1,1,0,0,2,10,5,1
18,25,5,5,2,0,20,0,0,0,25,0,3
50,10,10,20,0,0,10,0,0,0,0,0,1
50,10,10,20,0,0,10,0,0,0,0,0,1
0,0,0,15,0,0,0,0,0,10,60,15,2
0,5,0,20,20,20,30,5,0,0,0,0,5
30,10,20,10,0,0,20,10,0,0,0,0,4
30,25,10,20,5,3,2,0,0,0,5,0,3
20,0,20,50,0,0,0,0,0,0,10,0,3
0,15,0,5,0,0,5,0,5,0,50,20,2
10,0,2,10,5,10,60,0,0,3,0,0,4
25,10,10,20,5,5,5,5,5,5,5,0,4
25,10,10,20,5,5,5,5,5,5,5,0,4
19,19,19,19,5,0,0,0,0,0,14,0,3
0,0,20,70,0,0,0,0,0,0,0,10,3
0,10,20,20,20,30,0,0,0,0,0,0,5
0,0,0,60,20,0,20,0,0,0,0,0,5
40,0,20,10,5,5,10,0,0,0,10,0,1
19,19,5,14,1,2,9,0,0,2,24,0,3
50,0,50,0,0,0,0,0,0,0,0,0,1
18,0,18,0,0,0,0,0,0,6,18,0,1
25,35,15,5,2.8537829560307,0,20,0,0,0,0,0,3
5,5,0,20,10,20,30,0,0,0,10,0,5
7,13.5,7,11,6,4,27,0,0,0,9,5,3
10,20,5,20,5,5,15,20,0,0,0,0,4
60,0,0,15,0,10,10,0,0,0,5,0,3
0,80,5,5,5,5,0,0,0,0,0,0,3
15,10,5,25,10,10,25,0,0,0,0,0,3
9,22.5,2,18,7,7,22,0,0,2,0,0,3
5,30,20,10,15,10,5,0,0,0,5,0,3
13,4.5,13,14,5,9,13,5,0,0,13,0,4
20,3,10,20,5,5,7,0,0,3,15,12,3
15,15,5,15,5,5,15,5,2,2,15,1,4
0,0,0,0,0,0,0,0,0,100,0,0,4
85,0,10,0,0,0,0,0,0,0,0,5,1
24,4.75,14,9,9,10,10,0,0,0,5,9,3
70,0,25,0,0,0,5,0,0,0,0,0,1
70,0,25,0,0,0,5,0,0,0,0,0,1
5,25,10,2,2,2,50,0,1,0,3,0,4
13,18,4,14,4,9,9,4,2,3,5,5,4
2,2,2,40,10,0,40,2,0,1,1,0,3
28,8,8,30,2,1,8,0,0,1,10,4,3
13,34,8,6,6,3,9,0,0,0,2,4,3
20,10,10,20,8,5,15,4,0,8,0,0,3
20,20,15,20,5,5,0,0,0,5,10,0,3
25,0,0,15,10,5,0,5,0,10,10,5,3
10,0,0,40,0,20,0,20,0,10,0,0,4
1,17.5,7,4,2,1,17,7,4,7,2,0,4
85,0,15,0,0,0,0,0,0,0,0,0,1
0,0,0,30,30,30,0,0,0,0,0,10,5
30,10,10,10,5,5,20,0,0,5,5,0,3
30,0,30,10,0,0,0,0,0,0,30,0,1
16,16,8,12,4,4,8,4,2,4,2,0,4
30,0,0,70,0,0,0,0,0,0,0,0,3
20,20,0,60,0,0,0,0,0,0,0,0,3
5,5,0,70,0,0,0,0,0,20,0,0,3
24,4,4,2,2,2,8,4,4,4,12,10,4
13,10,15,10,10,5,15,2,0,10,10,0,3
36,9,4,6,5,0,9,0,1,1,19,0,3
5,0,0,40,30,20,0,0,0,0,0,5,5
30,32,4,25,3,3,0,0,0,0,3,0,3
15,15,5,15,5,5,20,5,5,5,5,0,4
40,0,20,40,0,0,0,0,0,0,0,0,1
15,15,10,10,5,5,15,3,2,5,15,0,4
80,0,20,0,0,0,0,0,0,0,0,0,1
16,16,12,12,4,4,12,0,0,0,4,0,3
13,0,18,14,9,9,17,3,0,2,2,3,3
20,20,5,15,8,12,17,2,0,0,1,0,3
38,9.5,9,24,5,0,9,0,0,0,0,0,3
20,10,0,40,0,5,25,0,0,0,0,0,3
20,0,10,15,5,10,40,0,0,0,0,0,3
20,10,10,20,10,8,22,0,0,0,0,0,3
10,42,15,5,10,5,5,1,0,1,4,0,3
60,0,10,0,0,0,10,0,0,5,0,15,1
30,5,10,20,10,10,10,0,0,0,5,0,3
20,1,20,20,10,5,10,5,1,3,5,0,4
0,0,0,50,20,10,0,0,0,0,20,0,5
20,20,15,10,10,5,0,0,0,5,15,0,3
0,0,0,0,0,0,0,0,0,0,50,50,2
0,50,0,40,10,0,0,0,0,0,0,0,3
18,18,9,17,9,5,9,1,0,2,2,0,3
40,5,6,30,2,1,7,0,0,0,9,0,3
5,10,10,0,0,0,55,5,0,0,15,0,4
40,5,5,40,3,0,2,0,0,0,5,0,3
100,0,0,0,0,0,0,0,0,0,0,0,1
30,10,10,20,0,0,20,0,0,10,0,0,3
23,10,10,10,5,5,20,0,0,2,15,0,3
50,0,20,5,5,5,5,0,0,0,10,0,1
20,60,0,0,0,0,0,0,0,20,0,0,3
12,15,9,5,2,3,5,1,1,2,5,0,3
30,0,0,50,5,10,0,0,0,5,0,0,3
20,10,15,15,9,4,23,1,0,0,3,0,3
35,0,15,0,0,0,30,5,0,5,0,0,1
0,100,0,0,0,0,0,0,0,0,0,0,3
50,50,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,3
30,25,15,5,5,5,5,0,0,5,5,0,3
15,25,10,10,5,5,20,3,0,0,7,0,3
20,16,15,10,5,8,16,0,0,0,10,0,3
45,0,13,10,3,3,1,0,0,0,25,0,1
20,20,10,10,1,5,20,2,0,5,5,2,3
24,14,5,24,1,2,6,2,0,5,12,0,3
0,0,0,0,0,0,0,0,0,0,0,40,2
17,20,10,12,4,2,6,1,0,2,6,0,3
12,8,8,12,8,12,0,0,4,8,8,0,4
30,0,0,50,5,0,15,0,0,0,0,0,3
5,26,15,10,3,3,20,0,0,0,3,0,3
20,20,15,15,5,5,15,0,0,0,5,0,3
0,0,5,15,5,10,50,0,5,0,0,10,4
0,0,0,5,20,5,50,0,0,0,0,20,5
0,0,0,10,15,15,30,0,0,0,0,30,5
60,0,20,0,0,0,10,0,0,0,10,0,1
45,0,25,0,0,0,20,0,0,10,0,0,1
5,0,0,0,0,0,0,0,0,0,90,5,2
30,20,5,30,2,2,8,0,0,0,3,0,3
28,5,0,28,0,0,5,0,0,0,28,0,3
22,2,0,36,1,0,18,0,0,9,2,0,3
23.3401998311912,12.565013741056,8.83764162766352,15.7505905616571,4.52875674048725,4.38593284457726,12.4790209316915,1.28557747736519,0.422109860659659,2.24580374679996,7.29439641028788,3.0869832409904,3
0,75,0,0,0,0,25,0,0,0,0,0,3
15,15,15,15,3,3,15,0,0,3,12,4,3
30,30,0,30,2,0,0,0,0,0,0,8,3
0,0,0,50,20,30,0,0,0,0,0,0,5
30,40,10,0,0,0,0,0,0,0,20,0,3
18,18,9,18,5,5,9,2,1,4,3,0,3
9,9,13.5,18,5,4,9,4,4,5,9,0,4
20,16,10,9,3,5,30,1,0,1,5,0,3
20,10,15,10,5,5,15,5,1,4,10,0,4
27,9,9,18,9,9,5,0,4,0,0,0,4
26,30,20,5,0,2,15,1,0,1,0,0,3
10,10,10,10,10,10,10,10,0,10,10,0,4
10,10,20,30,10,10,10,0,0,0,0,0,3
25,0,25,5,5,5,20,0,0,0,15,0,1
7,7,7,7,7,7,12,0,0,8,8,0,3
10,10,15,15,10,5,15,5,5,5,5,0,4
60,0,20,5,0,0,15,0,0,0,0,0,1
10,20,10,25,10,20,5,0,0,0,0,0,5
0,30,0,0,0,0,20,0,0,0,30,20,2
1,0,0,0,0,0,96,3,0,0,0,0,4
85,0,15,0,0,0,0,0,0,0,0,0,1
60,20,10,2,2,2,9.15262480002875,0.637399252913063,0.305747494831077,2,8.00592089633844,2,1
40,10,10,20,0,0,10,0,0,0,10,0,1
27,18,9,27,3,3,3,0,0,3,7,0,3
20,40,15,15,5,5,0,0,0,0,0,0,3
15,40,10,10,5,5,10,0,0,0,5,0,3
20,20,10,40,0,0,10,0,0,0,0,0,3
30,0,30,0,0,0,0,0,0,0,30,10,1
10,40,0,3,0,7,5,0,0,5,0,30,3
25,30,5,20,3,0,10,2,0,0,5,0,3
10,10,5,5,5,10,50,5,0,0,0,0,4
0,0,0,10,0,0,90,0,0,0,0,0,4
10,20,10,10,0,10,20,0,0,0,20,0,3
38,14,5,29,0,0,0,0,0,0,9.6,0,3
50,0,7,2,2,1,38,0,0,0,0,0,1
0,100,0,0,0,0,0,0,0,0,0,0,3
10,28,0,5,0,0,5,0,1,1,45,0,2
50,8,2,20,1,1,4,1,1,8,2,2,3
50,5,5,25,1,1,3,0,1,1,6,1,3
5,5,5,3,2,2,5,2,2,3,3,13,4
30,10,5,20,1,1,20,2,0,1,10,0,3
20,10,15,15,9,4,22,1,0,0,2,0,3
18,18,14,13,2,2,13,1,0,0,9,0,3
10,20,5,20,5,5,15,20,0,0,0,0,4
25,20,5,15,5,5,20,0,0,0,5,0,3
33,33,0,20,9,5,0,0,0,0,0,0,3
20,2,22,5,2,2,20,2,0,0,25,0,1
45,5,15,5,4,1,10,0,0,5,5,0,1
